ID,Name,AddressLine1,Town,Postcode,What3Words
256129db-35c8-47f2-806c-0e6bdc6fdaeb,Beaminster Freemasons Hall,Bridport Road,Beaminster,DT8 3LU,what3words address: ///rounds.solicitor.received
ecbb1638-c571-4eab-9872-abac44bfc813,Blandford Freemasons Hall,27 West Street,Blandford Forum,DT11 7AW,what3words address: ///powering.poet.buyers
39e09ee8-fd3b-4345-b064-1d0839f299cc,Branksome Freemasons Hall,57 Ashley Road,Poole,BH14 9BT,what3words address: ///option.strike.basket
69604854-69b5-4cd6-97b0-6da9b6109554,Bridport Freemasons Hall,124 East Street,Bridport,DT6 3LW,what3words address: ///being.flood.rejoins
6836ab31-5310-4b1c-9c54-8e93b3b64127,Dorchester Freemasons Hall,Alington Street,Dorchester,DT1 1TR,what3words address: ///advice.calibrate.successes
e536865e-03d1-4d22-97a2-2c0b5c5e2d35,Gillingham Freemasons Hall,Station Road,Gillingham,SP8 4PY,what3words address: ///haggling.folds.fled
ed9cedba-0db1-426d-b1fd-494d6e7cc02f,Kinson Freemasons Hall,Ferncroft Road,Bournemouth,BH10 6BY,what3words address: ///spray.marker.soap
d378acc5-cf52-4a3c-ac41-d2bf074d5a31,Lyme Regis Freemasons Hall,Broad Street,Lyme Regis,DT7 3QE,what3words address: ///invisible.glue.tablet
f641031b-ffc7-406c-aeac-ce17be94c176,Poole Freemasons Hall,4 Market Close,Poole,BH15 1NQ,what3words address: ///groups.smiled.hush
1b2192e6-a13f-4726-8f34-84f6f92d19d2,Portland Freemasons Hall,1 Victoria Square,Portland,DT5 1AL,what3words address: ///skillet.inhaler.searched
b9f3f112-fa95-407a-b2e2-4e222559f3b8,Shaftesbury Freemasons Hall,43 Bell Street,Shaftesbury,SP7 8AE,what3words address: ///options.stirs.paths
af7b70b2-b8f4-4c91-81e5-36f23f744b12,Sherborne Freemasons Hall,Digby Road,Sherborne,DT9 3NL,what3words address: ///adjust.rooster.messaging
8cdc7d8f-9724-499c-a5ec-9d2dff8cee87,Sturminster Newton Freemasons Hall,Church Street,Sturminster Newton,DT10 1DB,what3words address: ///aside.planting.spinners
fc789e5f-9037-44d4-9334-d8014177d28a,Swanage Freemasons Hall,Marshall Row,Swanage,BH19 2AF,what3words address: ///simmer.circling.broker
c4a1e17a-cc3e-4960-8d54-112eba47982f,Wareham Freemasons Hall,Howards Lane,Wareham,BH20 4HU,what3words address: ///exists.smarting.blaze
90e26688-a96b-443a-9fcd-f2fba346a8d7,Weymouth Freemasons Hall,School Street,Weymouth,DT4 8NH,what3words address: ///looked.humble.loses
60c03706-8d0a-4748-b42c-61dabf0fa723,Wimborne Freemasons Hall,7a Corn Market,Wimborne,BH21 1JL,what3words address: ///quicksand.rare.tools
