ID,UnitID,Title,RecurrenceType,RecurrenceStrategy,DayOfWeek,WeekNumber,DayNumber,StartMonth,EndMonth,Override
9e39b458-9d04-4faa-97df-0a1778d00cb8,b8a44ddc-0b59-4fab-9a1e-351a04ecb063,Regular Meeting,Monthly,Default,Friday,1st,,Sep,Jan,
9e39b458-9d04-4faa-97df-0a1778d00cb8,b8a44ddc-0b59-4fab-9a1e-351a04ecb063,Installation,Yearly,Default,Friday,1st,,Feb,Feb,
9e39b458-9d04-4faa-97df-0a1778d00cb8,b8a44ddc-0b59-4fab-9a1e-351a04ecb063,Regular Meeting,Monthly,Default,Friday,1st,,Mar,Jun,
bbf366ad-4020-4bd6-9c44-0e4975a14d11,658f24f0-2d73-430f-b170-eba537f8393d,Regular Meeting,Yearly,Default,Wednesday,3rd,,Feb,Feb,
aa2914d0-7da2-4fc2-a8c5-7058d5b1900f,658f24f0-2d73-430f-b170-eba537f8393d,Regular Meeting,Yearly,Default,Wednesday,2nd,,Jun,Jun,
daa9306a-e19c-48ea-9500-c2127cfeb1b2,658f24f0-2d73-430f-b170-eba537f8393d,Regular Meeting,Yearly,Default,Wednesday,3rd,,Nov,Nov,
1a4b6445-3121-4bb7-aabd-f632c7a29953,658f24f0-2d73-430f-b170-eba537f8393d,Installation,Yearly,Default,Saturday,Last,,Apr,Apr,
a408a012-c553-4b30-9cdc-d3382e0cd5d0,ef1fda7a-2765-433a-80eb-540acc687dbf,Regular Meeting,Monthly,Default,Friday,2nd,,Jan,Dec,
ec5acb1f-fd0e-4f13-84c3-82d2538872fa,ef1fda7a-2765-433a-80eb-540acc687dbf,Festival of St. John The Evangelist,Yearly,Default,,,27,Dec,Dec,
12594ff0-bc61-4f56-ab56-9070e26af71d,ef1fda7a-2765-433a-80eb-540acc687dbf,Festival of St. John The Baptist,Yearly,Default,,,24,Jun,Jun,
0794d3ff-3072-4f8f-8fc3-0fd5ef969e48,049a7adb-f87f-469a-8d0b-8246cc16a444,Regular Meeting,Monthly,Default,Thursday,2nd,,Dec,Jan,
622f8428-c014-4be0-b216-2ecc5ecd17f9,049a7adb-f87f-469a-8d0b-8246cc16a444,Regular Meeting,Monthly,LunarSeason,Thursday,,,Feb,Nov,
