"Lc no","Lc name","Mships start","Mships end","Difference","Resigned","Honorary","Cessation","Exclusion","Deceased","Other","Founder","Initiate exaltee","Joiner","Rejoiner","Foreign joiner","Checksum"
"137","Lodge of Amity","53","57","4","2","0","0","0","0","0","0","4","2","0","0","0"
"170","All Souls","74","74","0","1","2","0","0","3","0","0","3","3","0","0","0"
"386","Lodge of Unity","43","50","7","1","0","0","0","0","0","0","5","3","0","0","0"
"417","Lodge of Faith and Unanimity","31","32","1","1","0","0","0","1","0","0","2","1","0","0","0"
"472","Lodge of Friendship and Sincerity","32","32","0","1","0","0","0","1","0","0","2","0","0","0","0"
"622","Lodge of St Cuthberga","65","63","-2","2","0","0","0","3","0","0","1","2","0","0","0"
"665","Montagu","20","21","1","0","0","0","0","0","0","0","1","0","0","0","0"
"707","St Mary's","32","34","2","1","0","0","0","0","0","0","2","1","0","0","0"
"708","Carnarvon","18","20","2","0","0","0","0","0","0","0","0","2","0","0","0"
"1037","Portland","44","45","1","2","0","0","0","0","0","0","3","0","0","0","0"
"1146","De Moulham","33","32","-1","0","0","0","0","1","0","0","0","0","0","0","0"
"1168","Lodge of Benevolence","49","44","-5","10","0","0","0","0","0","0","1","4","0","0","0"
"1266","Lodge of Honour and Friendship","47","50","3","1","0","0","0","0","0","0","4","0","0","0","0"
"1367","Beaminster Manor","54","52","-2","2","1","1","0","0","0","0","0","2","0","0","0"
"2559","St Aldhelm's","28","26","-2","1","0","0","1","1","0","0","1","0","0","0","0"
"2689","King's Court","35","35","0","3","0","0","0","0","0","0","1","2","0","0","0"
"3366","Dorset Masters","133","138","5","2","0","0","0","3","0","0","0","10","0","0","0"
"3473","United Service","52","45","-7","3","0","1","2","1","0","0","0","0","0","0","0"
"3625","Blackmore Vale","56","50","-6","7","0","0","0","1","0","0","1","1","0","0","0"
"3878","Dunckerley","29","31","2","3","0","0","0","0","0","0","4","1","0","0","0"
"4355","Purbeck","44","40","-4","5","2","0","0","0","0","0","2","1","0","0","0"
"5331","Kinson","45","46","1","2","0","0","0","1","0","0","3","1","0","0","0"
"6445","Loyal Manor","48","49","1","2","0","0","0","2","0","0","3","2","0","0","0"
"6525","Ashley","42","40","-2","2","0","0","0","2","0","0","1","1","0","0","0"
"6582","Lodge of Meridian","30","29","-1","3","0","0","0","0","0","0","0","2","0","0","0"
"6827","Northbourne","43","41","-2","3","0","0","0","1","0","0","2","0","0","0","0"
"7300","London Haven","36","36","0","1","0","0","0","1","0","0","1","0","1","0","0"
"7860","Ferndown","39","44","5","0","0","0","0","0","0","0","4","1","0","0","0"
"7873","Vindelis","50","49","-1","0","0","0","0","3","0","0","1","0","1","0","0"
"7907","Llewellin","32","31","-1","0","0","0","0","1","0","0","0","0","0","0","0"
"7986","Lodge of St Martin","30","27","-3","0","2","0","2","2","0","0","1","2","0","0","0"
"8025","Trinity","36","31","-5","2","0","0","2","2","0","0","0","0","1","0","0"
"8099","Vespasian","17","16","-1","3","0","0","0","0","0","0","2","0","0","0","0"
"8118","Quintus","23","16","-7","6","0","0","1","0","0","0","0","0","0","0","0"
"8149","Chesil","43","39","-4","6","0","0","0","0","0","0","0","1","1","0","0"
"8290","Bleckly Clarke","38","37","-1","2","0","0","0","0","0","0","0","1","0","0","0"
"8315","Brit Valley","27","27","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8479","Lodge of Saint Mark","25","22","-3","3","0","0","0","0","0","0","0","0","0","0","0"
"8641","Broadstone","56","53","-3","1","2","0","1","1","0","0","2","0","0","0","0"
"8645","Lodge of Hospitality and Concord","31","29","-2","4","0","0","0","0","0","0","2","0","0","0","0"
"8726","Durnovarian","28","25","-3","2","0","0","0","1","0","0","0","0","0","0","0"
"9050","Amphibious","55","56","1","4","2","0","1","1","0","0","4","5","0","0","0"
"9177","Verwood","33","33","0","0","0","0","0","1","0","0","0","1","0","0","0"
"9508","Kenneth Cross Lodge of Dorset Provincial Grand Stewards","71","67","-4","7","0","0","1","0","0","0","0","4","0","0","0"
"9546","Dorset Fairway","37","29","-8","10","0","0","0","1","0","0","1","2","0","0","0"
"9649","Fraternal Lodge of Dorset","16","18","2","1","0","0","0","0","0","0","0","3","0","0","0"
"9689","Brownsea Island","40","40","0","1","0","0","0","1","0","0","1","1","0","0","0"
"9727","Canford","27","27","0","2","0","0","0","0","0","0","1","6","1","0","6"
"9942","Dorset Sportsmen's","29","33","4","0","0","0","0","0","0","0","1","2","1","0","0"
