Lc no,Mships start,Mships end,Difference,Resigned,Honorary,Cessation,Exclusion,Deceased,Initiate exaltee,Joiner,Rejoiner,Foreign joiner,Checksum
C137,34,37,3,0,0,1,0,0,3,0,1,0,0
C170,35,36,1,0,1,0,0,0,1,1,0,0,0
C386,24,25,1,1,0,0,0,0,1,1,0,0,0
C417,20,23,3,0,0,0,0,1,2,2,0,0,0
C622,49,54,5,4,0,0,0,0,7,1,1,0,0
C665,20,19,-1,2,0,0,0,1,1,1,0,0,0
C707,21,19,-2,2,0,0,0,1,1,0,0,0,0
C1037,29,29,0,3,0,0,0,1,3,0,1,0,0
C1168,31,30,-1,3,0,0,0,0,2,0,0,0,0
C1266,33,31,-2,3,0,0,0,1,2,0,0,0,0
C1367,30,30,0,2,0,0,0,0,1,1,0,0,0
C2559,29,27,-2,3,0,0,0,0,1,0,0,0,0
C2689,36,35,-1,4,0,0,0,0,2,1,0,0,0
C3366,93,90,-3,5,0,0,0,3,0,4,1,0,0
C3473,34,28,-6,3,1,0,0,2,0,0,0,0,0
C5331,32,33,1,1,0,0,0,0,2,0,0,0,0
C6445,31,34,3,1,0,0,0,0,3,0,1,0,0
C7986,23,22,-1,1,0,0,1,1,2,0,0,0,0
C8099,22,25,3,1,0,0,0,0,3,1,0,0,0
C9050,45,39,-6,6,1,0,0,1,1,1,0,0,0
C9177,29,31,2,1,0,0,0,0,2,1,0,0,0
C9649,35,36,1,1,0,0,0,0,0,1,1,0,0
