ID,Order,Abbreviation,Name
21179b8f-8ad7-42a0-86a6-74e00e573fdd,1,W.M.,Worshipful Master
ebb0f217-64de-4cd6-ab88-ee279f259f1e,2,S.W.,Senior Warden
8c133956-d811-42c3-b12a-596c70ff6398,3,J.W.,Junior Warden
4247cfd6-bce7-49a6-805d-17ceec154c99,4,Chaplain,Chaplain
26f9f2d0-5dc7-42b0-bbc4-f0045d03d0e6,5,Treasurer,Treasurer
025bec07-316c-4258-b74e-9ccac031b7ae,6,Secretary,Secretary
87beb668-96b5-48ca-90d4-68cd2e99af78,7,D.C.,Director of Ceremonies
49ae2dcd-9a35-4f9f-88b8-935f386458b5,8,Almoner,Almoner
10886422-7d95-4878-a141-79eab026b1c9,9,Ch. Stwd,Charity Steward
e1fc6bab-3a8b-4e6b-975a-fb86d850911e,10,M.O.,Membership Officer
e2eff8fb-cab5-4770-b222-c260105fcebe,11,Mentor,Mentor
3027639b-b01a-455c-928b-593fee22f704,12,S.D.,Senior Deacon
14a0b8d9-3397-46ac-984b-8dab95d1a5e1,13,J.D.,Junior Deacon
cf477c9e-59d2-4d0b-91e4-274306b11b36,14,Asst. D.C.,Assistant Director of Ceremonies
0ac27365-e400-471a-88d4-c12a2b850645,15,Organist,Organist
02b7fb8b-4db5-48fc-a961-7bb314d0f2bf,16,Asst. Sec.,Assistant Secretary
d0603f84-1a24-4541-ad9f-f16e4c23b050,17,I.G.,Inner Guard
c79021e0-553e-4818-8154-8d8b66af35ee,18,Steward,Steward
f713ebaf-1f62-474a-8397-8fb8f0ad4180,19,Tyler,Tyler
