Number,Name,ShortName,Location,Email,Established,LastInstallationDate
137,Lodge of Amity,Lodge of Amity,Poole,137@dorsetfreemasonry.info,1st April 1765,27/12/2024
170,All Souls,All Souls,Weymouth,170@dorsetfreemasonry.info,24th October 1767,27/12/2024
386,Lodge of Unity,Lodge of Unity,Wareham,386@dorsetfreemasonry.info,10th March 1827,27/12/2024
417,Lodge of Faith and Unanimity,Lodge of Faith and Unanimity,Dorchester,417@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
472,Lodge of Friendship and Sincerity,Lodge of Friendship and Sincerity,Shaftesbury,472@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
622,Lodge of St Cuthberga,Lodge of St Cuthberga,Wimborne,622@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
665,Montagu,Montagu,Lyme Regis,665@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
707,St Mary's,St Mary's,Bridport,707@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
708,Carnarvon,Carnarvon,Lyme Regis,708@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
1037,Portland,Portland,Portland,1037@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
1146,De Moulham,De Moulham,Swanage,1146@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
1168,Lodge of Benevolence,Lodge of Benevolence,Sherborne,1168@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
1266,Lodge of Honour and Friendship,Lodge of Honour and Friendship,Blandford,1266@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
1367,Beaminster Manor,Beaminster Manor,Beaminster,1367@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
2559,St Aldhelm's,St Aldhelm's,Branksome,2559@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
2689,Kings Court,Kings Court,Gillingham,2689@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
3366,Dorset Masters,Dorset Masters,Dorchester,3366@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
3473,United Services,United Services,Portland,3473@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
3625,Blackmore Vale,Blackmore Vale,Sturminster Newton,3625@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
3878,Dunckerley,Dunckerley,Poole,3878@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
4355,Purbeck,Purbeck,Branksome,4355@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
5331,Kinson,Kinson,Kinson,5331@dorsetfreemasonry.info,12th April 1932,27/12/2024
6445,Loyal Manor,Loyal Manor,Portland,6445@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
6525,Ashley,Ashley,Poole,6525@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
6582,Lodge of Meridian,Lodge of Meridian,Branksome,6582@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
6827,Northbourne,Northbourne,Kinson,6827@dorsetfreemasonry.info,1st Jan 2026,07/02/2025
7300,London Haven,London Haven,Kinson,7300@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
7860,Ferndown,Ferndown,Wimborne,7860@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
7873,Vindelis,Vindelis,Portland,7873@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
7907,Llewellin,Llewellin,Poole,7907@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
7986,Lodge of St Martin,Lodge of St Martin,Wareham,7986@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
8025,Trinity,Trinity,Portland,8025@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
8099,Vespasian,Vespasian,Wimborne,8099@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
8118,Quintus,Quintus,Portland,8118@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
8149,Chesil,Chesil,Portland,8149@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
8290,Bleckly Clarke,Bleckly Clarke,Blandford,8290@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
8315,Brit Valley,Brit Valley,Bridport,8315@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
8479,Lodge of Saint Mark,Lodge of Saint Mark,Kinson,8479@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
8641,Broadstone,Broadstone,Poole,8641@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
8645,Lodge of Hospitality and Concord,Lodge of Hospitality and Concord,Branksome,8645@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
8726,Dunovarian,Dunovarian,Dorchester,8726@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
9050,Amphibious,Amphibious,Wimborne,9050@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
9177,Verwood,Verwood,Wimborne,9177@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
9508,Kenneth Cross Lodge of Dorset Provincial Grand Stewards,Dorset Provincial Grand Stewards,Wareham,9508@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
9546,Dorset Fairway,Dorset Fairway,Dorchester,9546@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
9649,Fraternal Lodge of Dorset,Fraternal Lodge of Dorset,Kinson,9649@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
9689,Brownsea Island,Brownsea Island,Wareham,9689@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
9727,Canford,Canford,Kinson,9727@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
9942,Dorset Sportsmen's,Dorset Sportsmen's,Wimborne,9942@dorsetfreemasonry.info,1st Jan 2026,27/12/2024
