Appointed,Name,Years
1780,Alexander Campbell,22
1802,Thomas Parr,22
1824,William Elliot,15
1839,Herbert Williams,3
1842,Edward Thomas Percy,4
1846,Herbert Williams,8
1854,No Appointment,
1855,Richard Hare,4
1859,Rev. Thomas Pearce,5
1864,John Montagu Pulteney Montagu,13
1877,Joseph Pearkes Fox Gundry,2
1879,Charles Joseph Theophilus Hambro,8
1887,William Ernest Brymer,22
1909,Col. Sir William Watts,13
1923,Col. Gustavus Phelps Symes,14
1937,Capt. Henry Cyril Royds Brocklebank,16
1953,Dr. Kenneth Bleckley Clarke,4
1957,Arthur Leonard Pope,5
1962,Lt. Col. Arthur Richard Bond,9
1971,Montague John Scott Williams,1
1972,William Pope Farnfield,5
1977,Kenneth Valentyne Cross,8
1985,Frederick John Cooper,4
1989,Cyril Nigel Vernon House,5
1994,Brian John Knight,10
2004,David Cecil Foyle,2
2006,Richard Merritt,2
2008,George Richard Cooper OBE RD*,2
2010,Clive Wincott Deakin,4
2014,Nigel John Carrington Leonard,4
2018,Christopher James Lill,2
?,Stephen Andrew James,?
?,Mark David Burstow,?
