Appointed,Name,Years
1777,Thomas Dunckerley,18
1802,Sir John Lester,3
1805,John Jeffery MP,3
1812,William Williams,27
1839,William Eliot,6
1846,William Tucker,7 ‡
1853,Henry Ralph Willett,3
1859,Joseph Gundry,18
1877,Montague John Guest,25
1902,The Earl of Shaftesbury,50
1952,Lord Llewellin,5
1957,Dr. Kenneth Bleckly Clarke,15
1972,Montague John Scott Williams,12
1985,Kenneth Valentyne Cross,9 †
1994,Kenneth Henry Barnes,14
2008,Richard Merritt,10
2018,Graham Raymond Glazier,6
2024,Stephen Andrew James,2
