Lc no,Mships start,Mships end,Difference,Resigned,Honorary,Cessation,Exclusion,Deceased,Initiate exaltee,Joiner,Rejoiner
L137,53,57,4,2,0,0,0,0,4,2,0
L170,74,74,0,1,2,0,0,3,3,3,0
L386,43,50,7,1,0,0,0,0,5,3,0
L417,31,32,1,1,0,0,0,1,2,1,0
L472,32,32,0,1,0,0,0,1,2,0,0
L622,65,63,-2,2,0,0,0,3,1,2,0
L665,20,21,1,0,0,0,0,0,1,0,0
L707,32,34,2,1,0,0,0,0,2,1,0
L708,18,20,2,0,0,0,0,0,0,2,0
L1037,44,45,1,2,0,0,0,0,3,0,0
L1146,33,32,-1,0,0,0,0,1,0,0,0
L1168,49,44,-5,10,0,0,0,0,1,4,0
L1266,47,50,3,1,0,0,0,0,4,0,0
L1367,54,52,-2,2,1,1,0,0,0,2,0
L2559,28,26,-2,1,0,0,1,1,1,0,0
L2689,35,35,0,3,0,0,0,0,1,2,0
L3366,133,138,5,2,0,0,0,3,0,10,0
L3473,52,45,-7,3,0,1,2,1,0,0,0
L3625,56,50,-6,7,0,0,0,1,1,1,0
L3878,29,31,2,3,0,0,0,0,4,1,0
L4355,44,40,-4,5,2,0,0,0,2,1,0
L5331,45,46,1,2,0,0,0,1,3,1,0
L6445,48,49,1,2,0,0,0,2,3,2,0
L6525,42,40,-2,2,0,0,0,2,1,1,0
L6582,30,29,-1,3,0,0,0,0,0,2,0
L6827,43,41,-2,3,0,0,0,1,2,0,0
L7300,36,36,0,1,0,0,0,1,1,0,1
L7860,39,44,5,0,0,0,0,0,4,1,0
L7873,50,49,-1,0,0,0,0,3,1,0,1
L7907,32,31,-1,0,0,0,0,1,0,0,0
L7986,30,27,-3,0,2,0,2,2,1,2,0
L8025,36,31,-5,2,0,0,2,2,0,0,1
L8099,17,16,-1,3,0,0,0,0,2,0,0
L8118,23,16,-7,6,0,0,1,0,0,0,0
L8149,43,39,-4,6,0,0,0,0,0,1,1
L8290,38,37,-1,2,0,0,0,0,0,1,0
L8315,27,27,0,0,0,0,0,0,0,0,0
L8479,25,22,-3,3,0,0,0,0,0,0,0
L8641,56,53,-3,1,2,0,1,1,2,0,0
L8645,31,29,-2,4,0,0,0,0,2,0,0
L8726,28,25,-3,2,0,0,0,1,0,0,0
L9050,55,56,1,4,2,0,1,1,4,5,0
L9177,33,33,0,0,0,0,0,1,0,1,0
L9508,71,67,-4,7,0,0,1,0,0,4,0
L9546,37,29,-8,10,0,0,0,1,1,2,0
L9649,16,18,2,1,0,0,0,0,0,3,0
L9689,40,40,0,1,0,0,0,1,1,1,0
L9727,27,27,0,2,0,0,0,0,1,6,1
L9942,29,33,4,0,0,0,0,0,1,2,1
