Appointed,Name,Years
1780,Thomas Dunckerley,16
1796,Hon. Henry Hobart,3
1799,Sir John Lester,6
1805,John Jeffery MP,7
1812,William Williams,27
1841,William Elliot,7
1846,William Tucker,7
1853,Henry Ralph Willett,8
1861,Joseph Gundry,16
1877,John M P Montagu,14
1891,Montagu John Guest,12
1903,Lt. Col. William Ernest Brymer,6
1909,Col. Sir William Watts,13
1924,Col. Gustavus Phips Symes,14
1938,Capt. Henry Cyril Royds Brocklebank,16
1954,Dr. Kenneth Bleckley Clarke,17
1971,Rev. Arthur J Mangold,6
1977,Joseph Basil Gillam,15
1992,Kenneth Henry Barnes JP,16
2008,Derick Mayes,6
2014,Graham Raymond Glazier,6
?,Stephen Andrew James,?
