UnitType,UnitID,Number,Title,RecurrenceType,RecurrenceStrategy,DayOfWeek,WeekNumber,DayNumber,InstallationMonth,StartMonth,EndMonth,Months,Override,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,b8a44ddc-0b59-4fab-9a1e-351a04ecb063,6827,Meeting,Monthly,Default,Friday,1st,,Feb,Sep,Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,658f24f0-2d73-430f-b170-eba537f8393d,9508,Meeting,Yearly,Default,Wednesday,3rd,,,Feb,Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,658f24f0-2d73-430f-b170-eba537f8393d,9508,Meeting,Yearly,Default,Wednesday,2nd,,,Jun,Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,658f24f0-2d73-430f-b170-eba537f8393d,9508,Meeting,Yearly,Default,Wednesday,3rd,,,Nov,Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,658f24f0-2d73-430f-b170-eba537f8393d,9508,Installation,Yearly,Default,Saturday,Last,,,Apr,Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,ef1fda7a-2765-433a-80eb-540acc687dbf,170,Meeting,Monthly,Default,Friday,2nd,,,Jan,Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,ef1fda7a-2765-433a-80eb-540acc687dbf,170,Festival of St. John The Evangelist,Yearly,Default,,,27,Dec,Dec,Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,ef1fda7a-2765-433a-80eb-540acc687dbf,170,Festival of St. John The Baptist,Yearly,Default,,,24,,Jun,Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,049a7adb-f87f-469a-8d0b-8246cc16a444,472,Meeting,Monthly,Default,Thursday,2nd,,Jan,Dec,Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,049a7adb-f87f-469a-8d0b-8246cc16a444,472,Meeting,Monthly,LunarSeason,Thursday,,,,Feb,Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
