Number,Name,Location,Email,Established,LastInstallationDate,UnitType
137,Lodge of Amity,Poole,137@dorsetfreemasonry.info,1st April 1765,27/12/2024,Craft
170,All Souls,Weymouth,170@dorsetfreemasonry.info,24th October 1767,27/12/2024,Craft
386,Lodge of Unity,Wareham,386@dorsetfreemasonry.info,10th March 1827,27/12/2024,Craft
417,Lodge of Faith and Unanimity,Dorchester,417@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
472,Lodge of Friendship and Sincerity,Shaftesbury,472@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
622,Lodge of St Cuthberga,Wimborne,622@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
665,Montagu,Lyme Regis,665@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
707,St Mary's,Bridport,707@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
708,Carnarvon,Lyme Regis,708@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
1037,Portland,Portland,1037@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
1146,De Moulham,Swanage,1146@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
1168,Lodge of Benevolence,Sherborne,1168@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
1266,Lodge of Honour and Friendship,Blandford,1266@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
1367,Beaminster Manor,Beaminster,1367@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
2559,St Aldhelm's,Branksome,2559@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
2689,Kings Court,Gillingham,2689@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
3366,Dorset Masters,Dorchester,3366@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
3473,United Services,Portland,3473@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
3625,Blackmore Vale,Sturminster Newton,3625@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
3878,Dunckerley,Poole,3878@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
4355,Purbeck,Branksome,4355@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
5331,Kinson,Kinson,5331@dorsetfreemasonry.info,12th April 1932,27/12/2024,Craft
6445,Loyal Manor,Portland,6445@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
6525,Ashley,Poole,6525@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
6582,Lodge of Meridian,Branksome,6582@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
6827,Northbourne,Kinson,6827@dorsetfreemasonry.info,1st Jan 2026,07/02/2025,Craft
7300,London Haven,Kinson,7300@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
7860,Ferndown,Wimborne,7860@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
7873,Vindelis,Portland,7873@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
7907,Llewellin,Poole,7907@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
7986,Lodge of St Martin,Wareham,7986@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
8025,Trinity,Portland,8025@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
8099,Vespasian,Wimborne,8099@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
8118,Quintus,Portland,8118@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
8149,Chesil,Portland,8149@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
8290,Bleckly Clarke,Blandford,8290@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
8315,Brit Valley,Bridport,8315@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
8479,Lodge of Saint Mark,Kinson,8479@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
8641,Broadstone,Poole,8641@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
8645,Lodge of Hospitality and Concord,Branksome,8645@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
8726,Dunovarian,Dorchester,8726@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
9050,Amphibious,Wimborne,9050@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
9177,Verwood,Wimborne,9177@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
9508,Kenneth Cross Lodge of Dorset Provincial Grand Stewards,Wareham,9508@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
9546,Dorset Fairway,Dorchester,9546@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
9649,Fraternal Lodge of Dorset,Kinson,9649@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
9689,Brownsea Island,Wareham,9689@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
9727,Canford,Kinson,9727@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
9942,Dorset Sportsmen's,Wimborne,9942@dorsetfreemasonry.info,1st Jan 2026,27/12/2024,Craft
5331,Kinson,Kinson,5331@dorsetfreemasonry.info,,1st January 1950,28/03/2025,RoyalArch
386,Chapter of Unity,Wareham,386@dorsetfreemasonry.info,,1st January 1887,28/03/2025,RoyalArch
170,All Souls,Weymouth,170@dorsetfreemasonry.info,,1st January 1807,28/03/2025,RoyalArch
