Location,Name,Address,Parking,What3Words,ImageFile,Exclude
Beaminster,Beaminster Masonic Hall,"Bridport Road, Beaminster, DT8 3LU","The Town Square and some local on-street parking (free) or car park (pay) off Fleet Street, 200 yards from Masonic Hall.",rounds.solicitor.received,Beaminster,
Blandford,Blandford Masonic Hall,"27 West Street, Blandford Forum, DT11 7AW",Car park (pay) is on the river side of the Lodge entrance in West Street.,powering.poet.buyers,Blandford,
Branksome,Branksome Masonic Hall,"57 Ashley Road, Poole, BH14 9BT",Parking on the premises at the rear of the Masonic Hall (free) or local on-street.,option.strike.basket,Branksome,
Bridport,Bridport Masonic Hall,"124 East Street, Bridport, DT6 3LW","East Street Car Park (pay), about 200 yards west of Masonic Hall.",being.flood.rejoins,Bridport,
Dorchester,Dorchester Masonic Hall,"Alington Street, Dorchester, DT1 1TR","Car Park, 300 yards (pay), situated about 50 yards west of roundabout on Bridport Road. Also some local on-street parking after 6.00pm.",advice.calibrate.successes,Dorchester,
Gillingham,Gillingham Masonic Hall,"Station Road, Gillingham, SP8 4PY","Station car park, 200 yards. Also off Le Neubourg Way car park across footbridge to Buckingham Road, 150 yards.",haggling.folds.fled,Gillingham,
Kinson,Kinson Masonic Hall,"Ferncroft Road, Bournemouth, BH10 6BY",Parking on the premises in front of the Masonic Hall (free) or local roads.,spray.marker.soap,Kinson,
Lyme Regis,Lyme Regis Masonic Hall,"Broad Street, Lyme Regis, DT7 3QE",Car parks (pay) off Broad Street on the right as you come up the hill.,invisible.glue.tablet,Lyme_Regis,
Poole,Poole Masonic Hall,"4 Market Close, Poole, BH15 1NQ",Multi-storey car park (pay) is directly opposite or local roads after 6.00pm.,groups.smiled.hush,Poole,
Portland,Portland Masonic Hall,"1 Victoria Square, Portland, DT5 1AL",On the premises in front of the Masonic Hall (free).,skillet.inhaler.searched,Portland,
Salisbury,Salisbury Masonic Hall,"100 Crane Street, Salisbury, SP1 2QD",N/A,shirts.filed.afford,none,true
Shaftesbury,Shaftesbury Masonic Hall,"43 Bell Street, Shaftesbury, SP7 8AE",Angel Lane car park via footpath beside the Masonic Hall or Bell Street car park about 100 yards.,options.stirs.paths,Shaftesbury,
Sherborne,Sherborne Masonic Hall,"Digby Road, Sherborne, DT9 3NL",Kerbside in Digby Road or further down the road towards the Railway Station where additional facilities exist.,adjust.rooster.messaging,Sherborne,
Sturminster Newton,Sturminster Newton Masonic Hall,"Church Street, Sturminster Newton, DT10 1DB",Church Street car park (pay) or local roads.,aside.planting.spinners,Sturminster_Newton,
Swanage,Swanage Masonic Hall,"Marshall Row, Swanage, BH19 2AF",Broad Road car park (pay).  Also some local on-street parking in Park Road.,simmer.circling.broker,Swanage,
Wareham,Wareham Masonic Hall,"Howards Lane, Wareham, BH20 4HU",Howard's Lane car park (pay) directly opposite the Masonic Hall.  Alternatives off Bonnet's Lane (pay).,exists.smarting.blaze,Wareham,
Weymouth,Weymouth Masonic Hall,"School Street, Weymouth, DT4 8NH",Commercial Road car park (pay) with lane access to Masonic Hall.  Alternative Park Street car park (pay).,looked.humble.loses,Weymouth,
Wimborne,Wimborne Masonic Hall,"7a Corn Market, Wimborne, BH21 1JL",King Street car park (pay at meter) with footpath through to Masonic Hall.,quicksand.rare.tools,Wimborne,
Bournemouth,Bournemouth Freemasons Hall,"Knole Rd, Bournemouth BH1 4DH",N/A,none,none,true
Calne,Calne Masonic Hall,"Stanier Rd, Calne SN11 9PX",N/A,none,none,true
Marlborough,Marlborough Masonic Hall,"9 Oxford St, Marlborough SN8 1AP",N/A,none,none,true
Swindon,Swindon Masonic Hall,"The Planks, Swindon SN3 1QP",N/A,none,none,true
Westbury,Westbury Masonic Hall,"Warminster Rd, Westbury, BA13 3PD",N/A,none,none,true
