UnitType,Number,Title,RecurrenceType,RecurrenceStrategy,DayOfWeek,WeekNumber,DayNumber,InstallationMonth,StartMonth,EndMonth,Months,Override
Craft,6827,Meeting,Monthly,Default,Friday,1st,,Feb,Sep,Jun,,
Craft,9508,Meeting,Yearly,Default,Wednesday,3rd,,,Feb,Feb,,
Craft,9508,Meeting,Yearly,Default,Wednesday,2nd,,,Jun,Jun,,
Craft,9508,Meeting,Yearly,Default,Wednesday,3rd,,,Nov,Nov,,
Craft,9508,Installation,Yearly,Default,Saturday,Last,,,Apr,Apr,,
Craft,170,Meeting,Monthly,Default,Friday,2nd,,,Jan,Dec,,
Craft,170,Festival of St. John The Evangelist,Yearly,Default,,,27,Dec,Dec,Dec,,
Craft,170,Festival of St. John The Baptist,Yearly,Default,,,24,,Jun,Jun,,
Craft,472,Meeting,Monthly,Default,Thursday,2nd,,Jan,Dec,Jan,,
Craft,472,Meeting,Monthly,LunarSeason,Thursday,,,,Feb,Nov,,
Craft,8290,Meeting,Monthly,Default,Thursday,1st,,Apr,,,Feb:Mar:Apr:Jun:Aug:Oct:Dec,
Craft,9727,Meeting,Monthly,Default,Thursday,1st,,Feb,Oct,Jun,,
Craft,137,Meeting,Monthly,Default,Wednesday,3rd,,Jan,Jan,Dec,,
Craft,386,Meeting,Monthly,Default,Wednesday,Last,,Oct,Jan,Nov,,
Craft,386,Meeting,Yearly,Default,Wednesday,3rd,,,Dec,Dec,,
Craft,8645,Meeting,Monthly,Default,Tuesday,4th,,Sep,,,Sep:Oct:Nov:Jan:Feb:Mar:Apr,
Craft,8645,Installation,Yearly,Default,Tuesday,3rd,,,Dec,Dec,,
Craft,417,Meeting,Monthly,Default,Monday,2nd,,Jan,Sep,Jun,,
Craft,622,Meeting,Monthly,Default,Monday,1st,,,Sep,Jul,Sep:Oct:Nov:Dec:Jan:Feb:Apr:Jun:Jul,
Craft,622,Installation,Yearly,Default,Tuesday,1st,,,May,May,,
Craft,665,Meeting,Monthly,Default,Monday,2nd,,Nov,,,Oct:Nov:Jan:Feb:Mar:May:Jun:Jul,
Craft,707,Meeting,Monthly,Default,Thursday,2nd,,Feb,Sep,May,,
Craft,708,Meeting,Yearly,Default,Wednesday,4th,,,Feb,Feb,,
Craft,708,Meeting,Monthly,Default,Wednesday,1st,,May,,,May:Sep,
Craft,708,Meeting,Yearly,Default,Wednesday,3rd,,,Nov,Nov,,
Craft,1037,Meeting,Monthly,Default,Thursday,3rd,,Jan,Sep,Jun,,
Craft,1146,Meeting,Monthly,Default,Monday,3rd,,Jun,Sep,Jun,,
Craft,1168,Meeting,Monthly,Default,Monday,2nd,,,Jan,Jun,,
Craft,1168,Meeting,Monthly,Default,Monday,2nd,,,,,Sep:Nov:Dec,
Craft,1168,Installation,Yearly,Default,Monday,1st,,Oct,Oct,Oct,,
Craft,1266,Meeting,Monthly,LunarSeasonBefore,Tuesday,,,Nov,Jan,Dec,,
Craft,1367,Meeting,Monthly,Default,Tuesday,2nd,,Mar,Oct,May,,
Craft,2559,Meeting,Monthly,Default,Tuesday,2nd,,Oct,Oct,Jun,,
Craft,2689,Meeting,Monthly,Default,Tuesday,3rd,,Nov,,,Jan:Feb:Mar:Apr:May:Jun:Sep:Oct:Nov,
Craft,2689,Meeting,Yearly,Default,Tuesday,2nd,,,Dec,Dec,,
Craft,3366,Meeting,Monthly,Default,Thursday,1st,,Jun,,,Mar:Jun:Sep,
Craft,3473,Meeting,Monthly,Default,Monday,3rd,,Nov,Sep,Jun,,
Craft,3625,Meeting,Monthly,Default,Friday,Last,,Oct,,,Sep:Oct:Nov:Jan:Feb:Mar:Apr:May:Jun,
Craft,3878,Meeting,Monthly,Default,Monday,3rd,,Sep,Sep,May,,
Craft,4355,Meeting,Monthly,Default,Wednesday,1st,,Oct,Oct,Jul,,
Craft,5331,Meeting,Monthly,Default,Tuesday,3rd,,Apr,Sep,Jun,,
Craft,6445,Meeting,Monthly,Default,Friday,4th,,Oct,,,Sep:Oct:Nov:Jan:Feb:Mar:Apr:May:Jun,
Craft,6445,Meeting,Yearly,Default,Friday,3rd,,,Dec,Dec,,
Craft,6525,Meeting,Monthly,Default,Friday,Last,,Nov,,,Jan:Feb:Mar:Apr:May:Jun:Sep:Oct:Nov,
Craft,6525,Meeting,Yearly,Default,Friday,2nd,,,Dec,Dec,,
Craft,7300,Meeting,Monthly,Default,Saturday,3rd,,Mar,Sep,May,,
Craft,7860,Meeting,Monthly,Default,Wednesday,4th,,Feb,Jan,May,,
Craft,7860,Meeting,Monthly,Default,Wednesday,4th,,,Sep,Nov,,
Craft,7873,Meeting,Monthly,Default,Thursday,2nd,,May,,,Sep:Oct:Nov:Jan:Feb:Mar:Apr:May:Jun,
Craft,7907,Meeting,Monthly,Default,Monday,4th,,Sep,,,Sep:Oct:Nov:Jan:Feb:Mar:Apr:May,
Craft,7907,Meeting,Yearly,Default,Wednesday,2nd,,,Dec,Dec,,
Craft,7986,Meeting,Monthly,Default,Thursday,3rd,,Apr,Sep,Jun,,
Craft,8025,Meeting,Monthly,Default,Monday,2nd,,May,,,Oct:Nov:Jan:Feb:Mar:Apr:May,
Craft,8099,Meeting,Monthly,Default,Tuesday,4th,,Jun,,,Oct:Nov:Jan:Feb:Mar:Apr:May:Jun,
