UnitLU,Unit Type,Unit No,Unit Name,Warrant,Meeting Dates,Last Installation,Hall,Add No Postcode,,,,,,Last Installation:,March 14th 2026,,2nd,Saturday,March
Craft137,Craft,137,Lodge of Amity,Warrant dated 1 April 1765. Bi-Centenary Warrant granted 1965. ,Tyles at 6.15 pm on the third Wednesday of each month.  Installation January,January 21st 2026,Poole,"Poole Freemasons Hall, 4 Market Close, Poole",,3rd,Wednesday,January,,,,,,,
Craft170,Craft,170,All Souls Lodge,"Founded at Tiverton, 24 October, 1767. First Meeting at Weymouth on 16 June 1804. Bi-Centenary Warrant granted 1967. ","Tyles at 6.00 pm on the second Friday, and on St. John Baptist and St. John Evangelist. Installation St. John Evangelist.",December 27th 2025,Weymouth,"Weymouth Freemasons Hall, School Street, Weymouth",,,,,27 December 2025,,,,,,
Craft386,Craft,386,Lodge of Unity,"Warrant dated 10 March, 1827. Centenary Warrant granted 1927. ",Tyles at 6.00 pm on the Last Wednesday Jan-Nov. third Wednesday Dec. Installation October.,October 15th 2025,Wareham,"Wareham Freemasons Hall, Howards Lane, Wareham",,3rd,Wednesday,October,,,,,,,
Craft417,Craft,417,Lodge of Faith and Unanimity,Warrant dated 9 April 1834. Centenary Warrant granted 1934. ,Tyles at 6.30 pm on the second Monday Sept - Jun. Installation January.,January 12th 2026,Dorchester,"Dorchester Freemasons Hall, Alington Street, Dorchester",,2nd,Monday,January,,,,,,,
Craft472,Craft,472,Lodge of Friendship and Sincerity,"Warrant dated 17 October, 1840. Centenary Warrant granted 1940. ","Tyles at 6.30 pm on the second Thurs Jan & Dec. Thursday nearest Full Moon, except for December and January (Installation) when second Thursday.",January 8th 2026,Shaftesbury,"Shaftesbury Freemasons Hall, 43 Bell Street, Shaftesbury",,2nd,Thursday,January,,,,,,,
Craft622,Craft,622,Lodge of St Cuthberga,Warrant dated 17 September 1853. Centenary Warrant granted 1953,Tyles at 6.15 pm on the the first Monday from September to July except for the Installation on the first Tuesday in May.,May 5th 2026,Wimborne,"Wimborne Freemasons Hall, 7a Corn Market, Wimborne",,1st,Tuesday,May,,,,,,,
Craft665,Craft,665,Montagu Lodge,Warrant dated 26 February 1856. Centenary Warrant granted 1956. ,Tyles at 6.30 pm on the second Monday October - July except for the Installation on the first Tuesday in May,May 5th 2026,Lyme Regis,"Lyme Regis Freemasons Hall, Broad Street, Lyme Regis",,1st,Tuesday,May,,,,,,,
Craft707,Craft,707,St Mary's Lodge,Warrant dated 18 June 1857. Centenary Warrant granted 1957. ,Tyles at 6.30 pm on the second Thursday September - May. Installation November at 4.30pm.,November 13th 2025,Bridport,"Bridport Freemasons Hall, 124 East Street, Bridport",,2nd,Thursday,November,,,,,,,
Craft708,Craft,708,Carnarvon Lodge,"Hallstone Lodge. Warrant of Constitution given on the 18th June 1857. Centenary Warrant on the 18th June 1957.  Founding Lodge of the Province of Middlesex on the 22nd January, 1870.",Tyles at  on the fourth Weds Feb. first Wed May. first Wed Sept. third Wed Nov.  Installation May,May 6th 2026,Lyme Regis,"Lyme Regis Freemasons Hall, Broad Street, Lyme Regis",,1st,Wednesday,May,,,,,,,
Craft1037,Craft,1037,Portland Lodge,Warrant dated 20 October 1864. Consecrated 21 June 1865. Centenary Warrant granted 1965.,Tyles at 6.15 pm on the third Thursday September - June. Installation January.,January 15th 2026,Portland,"Portland Freemasons Hall, 1 Victoria Square, Portland",,3rd,Thursday,January,,,,,,,
