Unit Type,Unit No,Unit Name,Short Name,Super Short Name,Warrant,Meeting Dates,Last Installation,Hall,Location,Email
Craft,137,Lodge of Amity,Lodge of Amity,Amity,Warrant dated 1 April 1765. Bi-Centenary Warrant granted 1965.,Tyles at 6.15 pm on the third Wednesday of each month.  Installation January,January 21st 2026,Poole,"Poole Freemasons Hall, 4 Market Close, Poole",137@dorsetfreemasonry.info
Craft,170,All Souls Lodge,All Souls Lodge,All Souls,"Founded at Tiverton, 24 October, 1767. First Meeting at Weymouth on 16 June 1804. Bi-Centenary Warrant granted 1967.","Tyles at 6.00 pm on the second Friday, and on St.  John Baptist and St.  John Evangelist.  Installation St.  John Evangelist.",December 27th 2025,Weymouth,"Weymouth Freemasons Hall, School Street, Weymouth",170@dorsetfreemasonry.info
Craft,386,Lodge of Unity,Lodge of Unity,Unity,"Warrant dated 10 March, 1827. Centenary Warrant granted 1927.",Tyles at 6.00 pm on the Last Wednesday Jan-Nov.  third Wednesday Dec.  Installation October.,October 15th 2025,Wareham,"Wareham Freemasons Hall, Howards Lane, Wareham",386@dorsetfreemasonry.info
Craft,417,Lodge of Faith and Unanimity,Lodge of Faith and Unanimity,Faith & Unanimity,Warrant dated 9 April 1834. Centenary Warrant granted 1934.,Tyles at 6.30 pm on the second Monday Sept - Jun.  Installation January.,January 12th 2026,Dorchester,"Dorchester Freemasons Hall, Alington Street, Dorchester",417@dorsetfreemasonry.info
Craft,472,Lodge of Friendship and Sincerity,Lodge of Friendship and Sincerity,Friendship & Sincerity,"Warrant dated 17 October, 1840. Centenary Warrant granted 1940.","Tyles at 6.30 pm on the second Thurs Jan & Dec.  Thursday nearest Full Moon, except for December and January (Installation) when second Thursday.",January 8th 2026,Shaftesbury,"Shaftesbury Freemasons Hall, 43 Bell Street, Shaftesbury",472@dorsetfreemasonry.info
Craft,622,Lodge of St Cuthberga,Lodge of St Cuthberga,St Cuthberga,Warrant dated 17 September 1853. Centenary Warrant granted 1953,Tyles at 6.15 pm on the the first Monday from September to July except for the Installation on the first Tuesday in May.,May 6th 2025,Wimborne,"Wimborne Freemasons Hall, 7a Corn Market, Wimborne",622@dorsetfreemasonry.info
Craft,665,Montagu Lodge,Montagu Lodge,Montagu,Warrant dated 26 February 1856. Centenary Warrant granted 1956.,Tyles at 6.30 pm on the second Monday October - July except for the Installation on the first Tuesday in May,May 6th 2025,Lyme Regis,"Lyme Regis Freemasons Hall, Broad Street, Lyme Regis",665@dorsetfreemasonry.info
Craft,707,St Mary's Lodge,St Mary's Lodge,St Mary's,Warrant dated 18 June 1857. Centenary Warrant granted 1957.,Tyles at 6.30 pm on the second Thursday September - May.  Installation November at 4.30pm.,November 13th 2025,Bridport,"Bridport Freemasons Hall, 124 East Street, Bridport",707@dorsetfreemasonry.info
Craft,708,Carnarvon Lodge,Carnarvon Lodge,Carnarvon,"Hallstone Lodge. Warrant of Constitution given on the 18th June 1857. Centenary Warrant on the 18th June 1957.  Founding Lodge of the Province of Middlesex on the 22nd January, 1870.","Tyles at 11:00 am on the fourth Weds Feb, first Wed May, first Wed Sept and third Wed Nov.  Installation May.",May 7th 2025,Lyme Regis,"Lyme Regis Freemasons Hall, Broad Street, Lyme Regis",708@dorsetfreemasonry.info
Craft,1037,Portland Lodge,Portland Lodge,Portland,Warrant dated 20 October 1864. Consecrated 21 June 1865. Centenary Warrant granted 1965.,Tyles at 6.15 pm on the third Thursday September - June.  Installation January.,January 15th 2026,Portland,"Portland Freemasons Hall, 1 Victoria Square, Portland",1037@dorsetfreemasonry.info
Craft,1146,De Moulham Lodge,De Moulham Lodge,De Moulham,Warrant dated 16 January 1867. Consecrated 23 March 1867. Centenary Warrant granted 1967.,Tyles at 6.30 pm on the third Monday September - June.  Installation meeting June at 4.45pm.,June 16th 2025,Swanage,"Swanage Freemasons Hall, Marshall Row, Swanage",1146@dorsetfreemasonry.info
Craft,1168,Lodge of Benevolence,Lodge of Benevolence,Benevolence,Warrant dated 3 May 1867. Consecrated 27 August 1867. Centenary Warrant granted 1967,Tyles at 6.30 pm on the second Monday Jan - Jun and Sept & Nov.  first Monday Oct.  Installation first Monday of October also at 5.30pm.,October 6th 2025,Sherborne,"Sherborne Freemasons Hall, Digby Road, Sherborne",1168@dorsetfreemasonry.info
Craft,1266,Lodge of Honour and Friendship,Lodge of Honour and Friendship,Honour & Friendship,Warrant dated 22 May 1869. Centenary Warrant granted 1969.,Tyles at 6.15 pm on the Tuesday on or before each full moon.  W.M.  elected first regular Meeting October.  Installed next regular Meeting.,November 4th 2025,Blandford,"Blandford Freemasons Hall, 27 West Street, Blandford Forum",1266@dorsetfreemasonry.info
Craft,1367,Beaminster Manor Lodge,Dorset Masonic Bikers Chapter,Dorset Bikers,Warrant dated 3 August 1871. Centenary Warrant granted 1972.,Tyles at 6.30 pm on the second Tuesday October to May.  Installation March.,March 10th 2026,Beaminster,"Beaminster Freemasons Hall, Bridport Road, Beaminster",1367@dorsetfreemasonry.info
Craft,2559,St Aldhelm's Lodge,St Aldhelm's Lodge,St Aldhelm's,Warrant dated 2 May 1895. Centenary Warrant granted 1995.,"Tyles at 6.30pm on the second Tuesday, October (Installation 4.30pm) to June (Installation)",October 14th 2025,Branksome,"Branksome Freemasons Hall, 57 Ashley Road, Poole",2559@dorsetfreemasonry.info
Craft,2689,King's Court Lodge,King's Court Lodge,King's Court,Warrant dated 9 December 1897.,Tyles at 6.30 pm on the third Tuesday January to November (Installation) except for July and August and the second Tuesday in December.,November 18th 2025,Gillingham,"Gillingham Freemasons Hall, Station Road, Gillingham",2689@dorsetfreemasonry.info
