Unit No,Unit Type,Location,Last Installation,Meeting Dates,Short Name,Super Short Name,Unit Name,Warrant,Email,
137,Craft,Poole,January 21st 2026,Tyles at 6.15 pm on the third Wednesday of each month.  Installation January,Lodge of Amity,Amity,Lodge of Amity,Warrant dated 1 April 1765. Bi-Centenary Warrant granted 1965.,137@dorsetfreemasonry.info,
170,Craft,Weymouth,December 27th 2025,"Tyles at 6.00 pm on the second Friday, and on St  John Baptist and St  John EvangeliSt  Installation St  John EvangeliSt",All Souls Lodge,All Souls,All Souls Lodge,"Founded at Tiverton, 24 October, 1767. First Meeting at Weymouth on 16 June 1804. Bi-Centenary Warrant granted 1967.",170@dorsetfreemasonry.info,
386,Craft,Wareham,October 15th 2025,Tyles at 6.00 pm on the Last Wednesday Jan-Nov.  third Wednesday Dec.  Installation October.,Lodge of Unity,Unity,Lodge of Unity,"Warrant dated 10 March, 1827. Centenary Warrant granted 1927.",386@dorsetfreemasonry.info,
417,Craft,Dorchester,January 12th 2026,Tyles at 6.30 pm on the second Monday Sept - Jun.  Installation January.,Lodge of Faith & Unanimity,Faith & Unanimity,Lodge of Faith and Unanimity,Warrant dated 9 April 1834. Centenary Warrant granted 1934.,417@dorsetfreemasonry.info,
472,Craft,Shaftesbury,January 8th 2026,"Tyles at 6.30 pm on the second Thurs Jan & Dec.  Thursday nearest Full Moon, except for December and January (Installation) when second Thursday.",Lodge of Friendship & Sincerity,Friendship & Sincerity,Lodge of Friendship and Sincerity,"Warrant dated 17 October, 1840. Centenary Warrant granted 1940.",472@dorsetfreemasonry.info,
622,Craft,Wimborne,May 6th 2025,Tyles at 6.15 pm on the the first Monday from September to July except for the Installation on the first Tuesday in May.,Lodge of St Cuthberga,St Cuthberga,Lodge of St Cuthberga,Warrant dated 17 September 1853. Centenary Warrant granted 1953,622@dorsetfreemasonry.info,
665,Craft,Lyme Regis,May 6th 2025,Tyles at 6.30 pm on the second Monday October - July except for the Installation on the first Tuesday in May,Montagu Lodge,Montagu,Montagu Lodge,Warrant dated 26 February 1856. Centenary Warrant granted 1956.,665@dorsetfreemasonry.info,
707,Craft,Bridport,November 13th 2025,Tyles at 6.30 pm on the second Thursday September - May.  Installation November at 4.30pm.,St Mary's Lodge,St Mary's,St Mary's Lodge,Warrant dated 18 June 1857. Centenary Warrant granted 1957.,707@dorsetfreemasonry.info,
708,Craft,Lyme Regis,May 7th 2025,"Tyles at 11:00 am on the fourth Weds Feb, first Wed May, first Wed Sept and third Wed Nov.  Installation May.",Carnarvon Lodge,Carnarvon,Carnarvon Lodge,"Hallstone Lodge. Warrant of Constitution given on the 18th June 1857. Centenary Warrant on the 18th June 1957.  Founding Lodge of the Province of Middlesex on the 22nd January, 1870.",708@dorsetfreemasonry.info,
1037,Craft,Portland,January 15th 2026,Tyles at 6.15 pm on the third Thursday September - June.  Installation January.,Portland Lodge,Portland,Portland Lodge,Warrant dated 20 October 1864. Consecrated 21 June 1865. Centenary Warrant granted 1965.,1037@dorsetfreemasonry.info,
1146,Craft,Swanage,June 16th 2025,Tyles at 6.30 pm on the third Monday September - June.  Installation meeting June at 4.45pm.,De Moulham Lodge,De Moulham,De Moulham Lodge,Warrant dated 16 January 1867. Consecrated 23 March 1867. Centenary Warrant granted 1967.,1146@dorsetfreemasonry.info,
1168,Craft,Sherborne,October 6th 2025,Tyles at 6.30 pm on the second Monday Jan - Jun and Sept & Nov.  first Monday Oct.  Installation first Monday of October also at 5.30pm.,Lodge of Benevolence,Benevolence,Lodge of Benevolence,Warrant dated 3 May 1867. Consecrated 27 August 1867. Centenary Warrant granted 1967,1168@dorsetfreemasonry.info,
